ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,ESTU_HORASSEMANATRABAJA,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,COLE_JORNADA,COLE_GENERO,COLE_NATURALEZA,COLE_CARACTER,COLE_AREA_UBICACION,PUNT_MATEMATICAS,PUNT_INGLES,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,PUNT_GLOBAL
F,VALLE,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,TARDE,MIXTO,OFICIAL,TÉCNICO,URBANO,54.0,47.0,54.0,56.0,61.0,278.0
M,VALLE,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 4,3 a 4,Si,Si,0 A 10 LIBROS,0,3 a 5 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,41.0,33.0,34.0,49.0,32.0,193.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 1,1 a 2,Si,No,26 A 100 LIBROS,0,Todos o casi todos los días,Nunca o rara vez comemos eso,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,51.0,55.0,49.0,45.0,55.0,252.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,Si,26 A 100 LIBROS,0,3 a 5 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,78.0,100.0,76.0,71.0,72.0,381.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,No,11 A 25 LIBROS,0,3 a 5 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,74.0,72.0,70.0,65.0,65.0,344.0
F,MAGDALENA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,7 a 8,No,No,0 A 10 LIBROS,0,Todos o casi todos los días,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,44.0,38.0,59.0,64.0,46.0,260.0
F,MAGDALENA,Primaria completa,Primaria completa,Estrato 1,5 a 6,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,30.0,39.0,39.0,40.0,44.0,192.0
F,MAGDALENA,Secundaria (Bachillerato) incompleta,Educación profesional completa,Estrato 1,5 a 6,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,36.0,36.0,39.0,35.0,34.0,180.0
M,MAGDALENA,Primaria incompleta,Primaria incompleta,Estrato 1,7 a 8,No,No,0 A 10 LIBROS,0,3 a 5 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,64.0,44.0,57.0,61.0,62.0,298.0
F,MAGDALENA,Educación profesional completa,Educación profesional incompleta,Estrato 3,5 a 6,Si,No,0 A 10 LIBROS,Menos de 10 horas,3 a 5 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,57.0,59.0,60.0,61.0,63.0,301.0
M,VALLE,Primaria incompleta,No Aplica,Estrato 1,1 a 2,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,52.0,50.0,42.0,51.0,36.0,228.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,61.0,50.0,50.0,44.0,36.0,240.0
F,VALLE,Primaria completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,73.0,78.0,73.0,80.0,69.0,370.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 1,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,37.0,31.0,48.0,51.0,46.0,222.0
F,GUAVIARE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,No,No,11 A 25 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,36.0,64.0,47.0,70.0,60.0,270.0
F,MAGDALENA,Primaria incompleta,Ninguno,Estrato 1,5 a 6,No,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO,RURAL,42.0,38.0,42.0,49.0,38.0,212.0
M,TOLIMA,No Aplica,Educación profesional completa,Estrato 3,1 a 2,Si,Si,26 A 100 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,48.0,65.0,49.0,51.0,48.0,251.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 1,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,46.0,54.0,55.0,61.0,46.0,261.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,34.0,35.0,36.0,46.0,37.0,190.0
M,VALLE,Educación profesional completa,Educación profesional completa,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,3 a 5 veces por semana,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO,URBANO,71.0,64.0,71.0,67.0,59.0,334.0
M,VALLE,Primaria incompleta,Primaria completa,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO,URBANO,37.0,59.0,47.0,58.0,45.0,238.0
M,TOLIMA,Secundaria (Bachillerato) incompleta,Técnica o tecnológica completa,Estrato 2,1 a 2,Si,Si,11 A 25 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,31.0,32.0,38.0,42.0,35.0,181.0
M,VALLE,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 3,3 a 4,Si,Si,11 A 25 LIBROS,Entre 11 y 20 horas,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,41.0,37.0,50.0,63.0,56.0,257.0
F,VALLE,Primaria completa,Técnica o tecnológica completa,Estrato 1,3 a 4,Si,No,26 A 100 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,33.0,40.0,36.0,39.0,20.0,163.0
M,VALLE,Técnica o tecnológica completa,Primaria incompleta,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,34.0,35.0,39.0,39.0,38.0,187.0
F,VALLE,Secundaria (Bachillerato) completa,Técnica o tecnológica incompleta,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,61.0,49.0,51.0,59.0,55.0,280.0
M,VALLE,No sabe,No sabe,Estrato 1,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,51.0,41.0,40.0,51.0,47.0,234.0
F,MAGDALENA,Primaria incompleta,Secundaria (Bachillerato) incompleta,Estrato 3,5 a 6,No,Si,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,NOCHE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,33.0,34.0,32.0,36.0,30.0,164.0
M,VALLE,Primaria incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,1 a 2,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,46.0,44.0,38.0,36.0,41.0,203.0
M,VALLE,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,5 a 6,Si,Si,0 A 10 LIBROS,Menos de 10 horas,Todos o casi todos los días,3 a 5 veces por semana,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,36.0,36.0,33.0,39.0,32.0,175.0
M,VALLE,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,0,Todos o casi todos los días,3 a 5 veces por semana,NOCHE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,53.0,43.0,50.0,46.0,44.0,239.0
M,MAGDALENA,Primaria completa,Ninguno,Estrato 3,3 a 4,Si,Si,26 A 100 LIBROS,Menos de 10 horas,3 a 5 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,28.0,35.0,33.0,38.0,30.0,162.0
M,VALLE,No sabe,No sabe,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,56.0,46.0,56.0,64.0,53.0,282.0
F,VALLE,Educación profesional completa,Secundaria (Bachillerato) completa,Estrato 3,5 a 6,Si,Si,26 A 100 LIBROS,Menos de 10 horas,3 a 5 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,50.0,64.0,57.0,60.0,47.0,272.0
M,VALLE,Primaria incompleta,Primaria incompleta,Estrato 1,5 a 6,Si,No,0 A 10 LIBROS,Menos de 10 horas,Todos o casi todos los días,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,44.0,37.0,43.0,46.0,44.0,218.0
F,MAGDALENA,Educación profesional incompleta,Educación profesional incompleta,Estrato 2,1 a 2,Si,No,11 A 25 LIBROS,Menos de 10 horas,3 a 5 veces por semana,Todos o casi todos los días,NOCHE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,35.0,35.0,38.0,29.0,32.0,168.0
F,VALLE,Primaria incompleta,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,Si,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,45.0,51.0,54.0,54.0,59.0,264.0
M,VALLE,Primaria incompleta,Primaria incompleta,Estrato 2,5 a 6,Si,Si,0 A 10 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO,URBANO,63.0,41.0,48.0,59.0,44.0,263.0
F,VALLE,Primaria completa,Ninguno,Estrato 1,5 a 6,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,35.0,32.0,36.0,35.0,24.0,162.0
F,TOLIMA,Secundaria (Bachillerato) completa,Primaria completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,49.0,37.0,47.0,46.0,38.0,222.0
M,GUAVIARE,Primaria completa,Primaria incompleta,Sin Estrato,3 a 4,No,No,26 A 100 LIBROS,0,Nunca o rara vez comemos eso,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,44.0,35.0,41.0,36.0,35.0,193.0
F,GUAVIARE,Secundaria (Bachillerato) incompleta,Primaria incompleta,Sin Estrato,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,40.0,36.0,38.0,38.0,32.0,185.0
M,MAGDALENA,Primaria completa,Primaria incompleta,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,3 a 5 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,55.0,64.0,52.0,42.0,58.0,263.0
M,MAGDALENA,Postgrado,Postgrado,Estrato 6,3 a 4,Si,Si,11 A 25 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,COMPLETA,MASCULINO,NO OFICIAL,ACADÉMICO,URBANO,75.0,76.0,69.0,75.0,65.0,357.0
M,MAGDALENA,Primaria incompleta,Educación profesional completa,Sin Estrato,3 a 4,No,No,11 A 25 LIBROS,Más de 30 horas,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,27.0,42.0,34.0,37.0,25.0,158.0
F,MAGDALENA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 5,3 a 4,No,No,0 A 10 LIBROS,Menos de 10 horas,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,43.0,40.0,41.0,35.0,38.0,197.0
M,MAGDALENA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,No,No,11 A 25 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,TARDE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,48.0,43.0,46.0,54.0,36.0,229.0
F,VALLE,Educación profesional incompleta,Técnica o tecnológica completa,Estrato 3,1 a 2,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,45.0,46.0,54.0,54.0,51.0,253.0
F,VALLE,Educación profesional completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,Si,MÁS DE 100 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,57.0,46.0,55.0,51.0,53.0,267.0
M,VALLE,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 3,7 a 8,Si,No,0 A 10 LIBROS,Menos de 10 horas,3 a 5 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,61.0,54.0,56.0,62.0,54.0,290.0
M,TOLIMA,Secundaria (Bachillerato) incompleta,Educación profesional completa,Estrato 3,3 a 4,Si,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,56.0,58.0,52.0,68.0,63.0,298.0
M,TOLIMA,Primaria incompleta,Secundaria (Bachillerato) incompleta,Estrato 1,5 a 6,No,No,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,30.0,34.0,33.0,36.0,32.0,164.0
F,TOLIMA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,7 a 8,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,37.0,49.0,37.0,32.0,26.0,171.0
F,VALLE,No sabe,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,26 A 100 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,64.0,44.0,62.0,58.0,61.0,300.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,40.0,49.0,46.0,50.0,46.0,229.0
M,MAGDALENA,Técnica o tecnológica completa,Educación profesional incompleta,Estrato 3,5 a 6,Si,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,TARDE,MIXTO,OFICIAL,ACADÉMICO,URBANO,61.0,47.0,54.0,63.0,49.0,280.0
F,MAGDALENA,Secundaria (Bachillerato) completa,Postgrado,Estrato 1,5 a 6,Si,No,26 A 100 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,57.0,71.0,59.0,56.0,57.0,292.0
M,VALLE,Educación profesional completa,Técnica o tecnológica completa,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,49.0,57.0,51.0,62.0,49.0,265.0
F,VALLE,Secundaria (Bachillerato) incompleta,Técnica o tecnológica completa,Estrato 3,5 a 6,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,45.0,40.0,41.0,53.0,36.0,217.0
M,VALLE,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,Si,11 A 25 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,36.0,52.0,56.0,65.0,58.0,268.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,9 o más,Si,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,43.0,39.0,41.0,55.0,39.0,220.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,48.0,48.0,46.0,56.0,38.0,235.0
F,VALLE,Postgrado,Educación profesional completa,Estrato 3,3 a 4,Si,No,26 A 100 LIBROS,0,Nunca o rara vez comemos eso,3 a 5 veces por semana,COMPLETA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,62.0,60.0,59.0,56.0,52.0,287.0
M,VALLE,Educación profesional completa,Educación profesional completa,Estrato 4,5 a 6,Si,No,26 A 100 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,71.0,65.0,65.0,62.0,59.0,322.0
F,VALLE,Técnica o tecnológica completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,3 a 5 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,59.0,51.0,56.0,60.0,55.0,285.0
M,VALLE,Técnica o tecnológica incompleta,Primaria incompleta,Estrato 3,3 a 4,Si,No,26 A 100 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,64.0,72.0,62.0,68.0,62.0,323.0
M,VALLE,No sabe,No sabe,Estrato 4,3 a 4,Si,Si,MÁS DE 100 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,76.0,83.0,76.0,79.0,66.0,375.0
F,VALLE,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 2,9 o más,No,No,26 A 100 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,52.0,61.0,51.0,55.0,43.0,255.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 3,3 a 4,Si,Si,11 A 25 LIBROS,0,Todos o casi todos los días,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,57.0,60.0,48.0,46.0,43.0,247.0
M,VALLE,Primaria incompleta,Técnica o tecnológica completa,Estrato 3,3 a 4,Si,No,26 A 100 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,50.0,35.0,51.0,61.0,52.0,260.0
F,TOLIMA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,COMPLETA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,42.0,49.0,38.0,45.0,40.0,209.0
F,TOLIMA,Educación profesional incompleta,Educación profesional incompleta,Estrato 4,3 a 4,Si,No,26 A 100 LIBROS,Entre 11 y 20 horas,Todos o casi todos los días,3 a 5 veces por semana,MAÑANA,MIXTO,NO OFICIAL,TÉCNICO,URBANO,46.0,52.0,56.0,59.0,46.0,259.0
F,META,Primaria incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,1 a 2,No,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,33.0,41.0,37.0,48.0,33.0,190.0
F,MAGDALENA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Sin Estrato,7 a 8,No,No,0 A 10 LIBROS,0,Todos o casi todos los días,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,47.0,39.0,39.0,42.0,37.0,205.0
F,VALLE,No sabe,Primaria incompleta,Estrato 1,3 a 4,Si,No,11 A 25 LIBROS,0,Nunca o rara vez comemos eso,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,44.0,50.0,38.0,47.0,27.0,199.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Sin Estrato,1 a 2,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Nunca o rara vez comemos eso,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,27.0,40.0,30.0,46.0,28.0,167.0
M,VALLE,Educación profesional completa,Educación profesional incompleta,Estrato 3,7 a 8,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,3 a 5 veces por semana,NOCHE,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,50.0,60.0,47.0,60.0,57.0,270.0
M,MAGDALENA,Postgrado,Educación profesional completa,Estrato 3,3 a 4,Si,No,MÁS DE 100 LIBROS,Menos de 10 horas,3 a 5 veces por semana,Todos o casi todos los días,COMPLETA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,75.0,79.0,69.0,62.0,66.0,344.0
F,VALLE,Educación profesional completa,Técnica o tecnológica completa,Estrato 4,7 a 8,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,38.0,45.0,43.0,50.0,40.0,215.0
F,VALLE,Primaria completa,Primaria completa,Estrato 2,9 o más,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,32.0,37.0,33.0,44.0,33.0,178.0
F,VALLE,Primaria completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,TARDE,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,54.0,56.0,53.0,57.0,50.0,268.0
F,VALLE,Técnica o tecnológica completa,Educación profesional completa,Estrato 2,1 a 2,Si,No,0 A 10 LIBROS,Menos de 10 horas,Todos o casi todos los días,Todos o casi todos los días,TARDE,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,52.0,64.0,51.0,57.0,51.0,268.0
F,MAGDALENA,Primaria completa,Primaria incompleta,Estrato 1,3 a 4,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,3 a 5 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,52.0,39.0,46.0,52.0,45.0,240.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,43.0,45.0,41.0,55.0,43.0,227.0
F,VALLE,Primaria completa,Primaria completa,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,58.0,53.0,51.0,57.0,61.0,282.0
M,VALLE,Postgrado,Postgrado,Estrato 4,1 a 2,Si,Si,26 A 100 LIBROS,0,Todos o casi todos los días,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,59.0,54.0,55.0,53.0,53.0,275.0
F,MAGDALENA,No Aplica,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,No,11 A 25 LIBROS,Entre 11 y 20 horas,Todos o casi todos los días,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,35.0,34.0,39.0,44.0,44.0,200.0
F,MAGDALENA,Primaria completa,Primaria incompleta,Estrato 2,9 o más,No,No,0 A 10 LIBROS,0,Todos o casi todos los días,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,47.0,36.0,45.0,52.0,50.0,238.0
F,MAGDALENA,Primaria incompleta,Ninguno,Estrato 1,5 a 6,No,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,49.0,51.0,36.0,47.0,44.0,223.0
